Number of true negative reads: 1352.

id	correct_species_taxid	correct_genus_taxid	script_species_taxid	script_genus_taxid
4c62765b-01fc-6451-d7fc-a0d5716d6b12	-	-	*	*
8bbf1126-a945-2dc3-15fa-428dc808161f	-	-	*	*
be26506e-f711-fbcb-aede-17cea4bda8c0	-	-	*	*
04d7c7e9-c6a8-1674-672c-2caea123ca6c	-	-	*	*
4ea60444-b46b-b407-7536-e8cee5edd8a6	-	-	*	*
f1f69c51-8ff2-97de-374d-05beed87c902	28901	590	*	*
8950341a-35ac-1495-12e4-d3f1e5b995df	-	-	*	*
9c20f0d4-77c9-4e22-00f3-3ecb55bdc98e	28901	590	*	*
65c539ec-1d29-1f74-ca15-9513877ba101	-	-	*	*
336a8226-9569-51df-0f64-122ac50ad970	-	-	*	*
603e3475-5cba-a9a8-45bc-d7bcae8f60e3	-	-	*	*
7f1335c4-1ad1-a223-4161-eb259fa961cb	1639	1637	*	*
09af16b1-7b1b-d4b4-bb13-45b914c77a72	-	-	*	*
c39a8636-d507-9428-4897-236a9e379ce8	-	-	*	*
5a321364-27f1-d1d3-2ba6-897bee05c936	-	-	*	*
ecb8ee40-42c6-7bee-9dec-6e5fce962422	1280	1279	*	*
fc2f9349-46b0-7c55-0d4a-9a5d2f2365c9	-	-	*	*
e8832136-ec14-03ac-3a8e-966bb4a33115	1351	1350	*	*
5bd2b5f0-a804-6120-b312-0a4c863741dc	562	561	*	*
a74bbe94-ee5c-9401-f36c-6cfce03091b6	-	-	*	*
a1ca43c7-be2c-a5c6-d5cb-34cae0194912	287	286	*	*
